ID,SMILES,IC50(nM)
BDBM155029,CCN(CC)S(=O)(=O)c1ccc(-c2c(C)c(CC(=O)O)cc3ccc(F)cc23)cc1,1.8
BDBM50345007,CCN(CC)S(=O)(=O)c1ccc(-c2cc(C(F)(F)F)ccc2OCC(=O)O)cc1,1.3
BDBM50335953,CCN(Cc1cc(-c2ccc(F)cn2)ccc1-c1cc(CC(=O)O)ccc1OC)C(=O)C1CC1,23.0
BDBM50356765,CCN(Cc1cc(-c2ccc(OC)cn2)ccc1-c1cc(CC(=O)O)ccc1OC)C(=O)C1CC1,3.0
BDBM50335952,CCN(Cc1cc(-c2cnc3ccccc3c2)ccc1-c1cc(CC(=O)O)ccc1OC)C(=O)C1CC1,12.0
BDBM50335951,CCN(Cc1cc(-c2cnn(C)c2)ccc1-c1cc(CC(=O)O)ccc1OC)C(=O)C1CC1,27.0
BDBM50335955,CCN(Cc1cc(-c2ncc(OC)cn2)ccc1-c1cc(CC(=O)O)ccc1OC)C(=O)C1CC1,27.0
BDBM50335961,CCN(Cc1cc(C(=O)O)ccc1-c1cc(CC(=O)O)ccc1OC)C(=O)OCc1ccccc1,131.0
BDBM50335960,CCN(Cc1cc(C(C)(C)O)ccc1-c1cc(CC(=O)O)ccc1OC)C(=O)OCc1ccccc1,18.0
BDBM50035019,CCN(Cc1cc(C(F)(F)F)ccc1-c1cc(CC(=O)O)c2ccc(C)nn12)C(=O)C1CC1,5.75
BDBM50034944,CCN(Cc1cc(C(F)(F)F)ccc1-c1cc(CC(=O)O)c2cccn2c1)C(=O)C1CC1,262.0
BDBM50034957,CCN(Cc1cc(C(F)(F)F)ccc1-c1cc(CC(=O)O)c2ccncn12)C(=O)C1CC1,25.5
BDBM50034943,CCN(Cc1cc(C(F)(F)F)ccc1-c1cc(CC(=O)O)c2ccnn2c1)C(=O)C1CC1,123.0
BDBM50034921,CCN(Cc1cc(C(F)(F)F)ccc1-c1cc(CC(=O)O)cc2cn(C)nc12)C(=O)C1CC1,45.5
BDBM50034920,CCN(Cc1cc(C(F)(F)F)ccc1-c1cc(CC(=O)O)cc2cnn(C)c12)C(=O)C1CC1,53.0
BDBM50397641,CCN(Cc1cc(C(F)(F)F)ccc1-c1cc(CC(=O)O)ccc1OC)C(=O)C1CC1,13.5
BDBM50357291,CCN(Cc1cc(C(F)(F)F)ccc1-c1cc(CC(=O)O)ccc1OC)C(=O)OC,9.0
BDBM50357309,CCN(Cc1cc(C(F)(F)F)ccc1-c1cc(CC(=O)O)ccc1OC)C(=O)OCc1cc(Cl)cc(Cl)c1,14.0
BDBM50357311,CCN(Cc1cc(C(F)(F)F)ccc1-c1cc(CC(=O)O)ccc1OC)C(=O)OCc1cc(F)cc(F)c1,5.0
BDBM50357289,CCN(Cc1cc(C(F)(F)F)ccc1-c1cc(CC(=O)O)ccc1OC)C(=O)OCc1ccc(Cl)cc1,6.0
BDBM50357310,CCN(Cc1cc(C(F)(F)F)ccc1-c1cc(CC(=O)O)ccc1OC)C(=O)OCc1ccc(F)cc1,4.0
BDBM50357308,CCN(Cc1cc(C(F)(F)F)ccc1-c1cc(CC(=O)O)ccc1OC)C(=O)OCc1cccc(Cl)c1,7.0
BDBM50357286,CCN(Cc1cc(C(F)(F)F)ccc1-c1cc(CC(=O)O)ccc1OC)C(=O)OCc1ccccc1,5.0
BDBM50357307,CCN(Cc1cc(C(F)(F)F)ccc1-c1cc(CC(=O)O)ccc1OC)C(=O)OCc1ccccc1Cl,7.0
BDBM50397640,CCN(Cc1cc(C(F)(F)F)ccc1-c1cc(CC(=O)O)ccc1OC)C(O)=NCc1ccccc1,3.8000000000000003
BDBM50034924,CCN(Cc1cc(C(F)(F)F)ccc1-c1cc(CC(=O)O)cn2ccnc12)C(=O)C1CC1,159.0
BDBM50034923,CCN(Cc1cc(C(F)(F)F)ccc1-c1cc(CC(=O)O)cn2cnnc12)C(=O)C1CC1,398.0
BDBM50034926,CCN(Cc1cc(C(F)(F)F)ccc1-c1cc(CC(=O)O)cn2nccc12)C(=O)C1CC1,247.0
BDBM50034995,CCN(Cc1cc(C(F)(F)F)ccc1-c1cc(CC(=O)O)n2ccc(C)nc12)C(=O)C1CC1,15.5
BDBM50034956,CCN(Cc1cc(C(F)(F)F)ccc1-c1cc(CC(=O)O)n2cccnc12)C(=O)C1CC1,7.2
BDBM50034990,CCN(Cc1cc(C(F)(F)F)ccc1-c1cn(CC(=O)O)c2ccc(C(F)(F)F)nc12)C(=O)C1CC1,48.5
BDBM50034987,CCN(Cc1cc(C(F)(F)F)ccc1-c1cn(CC(=O)O)c2ccc(C)nc12)C(=O)C1CC1,13.5
BDBM50034946,CCN(Cc1cc(C(F)(F)F)ccc1-c1cn(CC(=O)O)c2ccccc12)C(=O)C1CC1,41.0
BDBM50034948,CCN(Cc1cc(C(F)(F)F)ccc1-c1cn(CC(=O)O)c2cccnc12)C(=O)C1CC1,15.0
BDBM50034951,CCN(Cc1cc(C(F)(F)F)ccc1-c1cn(CC(=O)O)c2ccncc12)C(=O)C1CC1,25.5
BDBM50034958,CCN(Cc1cc(C(F)(F)F)ccc1-c1nc(CC(=O)O)c2ccccn12)C(=O)C1CC1,88.0
BDBM50034971,CCN(Cc1cc(C(F)(F)F)ccc1-c1nn(CC(=O)O)c2cc(F)ccc12)C(=O)C1CC1,127.0
BDBM50034967,CCN(Cc1cc(C(F)(F)F)ccc1-c1nn(CC(=O)O)c2ccc(C)cc12)C(=O)C1CC1,11.0
BDBM50034969,CCN(Cc1cc(C(F)(F)F)ccc1-c1nn(CC(=O)O)c2ccc(Cl)c(F)c12)C(=O)C1CC1,16.5
BDBM50034966,CCN(Cc1cc(C(F)(F)F)ccc1-c1nn(CC(=O)O)c2ccc(Cl)cc12)C(=O)C1CC1,19.5
BDBM50034970,CCN(Cc1cc(C(F)(F)F)ccc1-c1nn(CC(=O)O)c2ccc(F)c(Cl)c12)C(=O)C1CC1,40.5
BDBM50034968,CCN(Cc1cc(C(F)(F)F)ccc1-c1nn(CC(=O)O)c2ccc(F)cc12)C(=O)C1CC1,24.5
BDBM50034965,CCN(Cc1cc(C(F)(F)F)ccc1-c1nn(CC(=O)O)c2cccc(C#N)c12)C(=O)C1CC1,68.0
BDBM50034964,CCN(Cc1cc(C(F)(F)F)ccc1-c1nn(CC(=O)O)c2cccc(C)c12)C(=O)C1CC1,62.5
BDBM50034959,CCN(Cc1cc(C(F)(F)F)ccc1-c1nn(CC(=O)O)c2cccc(Cl)c12)C(=O)C1CC1,83.15
BDBM50034960,CCN(Cc1cc(C(F)(F)F)ccc1-c1nn(CC(=O)O)c2cccc(F)c12)C(=O)C1CC1,13.65
BDBM50034962,CCN(Cc1cc(C(F)(F)F)ccc1-c1nn(CC(=O)O)c2cccc(OC)c12)C(=O)C1CC1,25.0
BDBM50034945,CCN(Cc1cc(C(F)(F)F)ccc1-c1nn(CC(=O)O)c2ccccc12)C(=O)C1CC1,33.0
BDBM50034976,CCN(Cc1cc(C(F)(F)F)ccc1-n1cc(CC(=O)O)c2ccc(C(F)(F)F)nc21)C(=O)C1CC1,54.0
BDBM50034975,CCN(Cc1cc(C(F)(F)F)ccc1-n1cc(CC(=O)O)c2ccc(C(F)F)nc21)C(=O)C1CC1,9.5
BDBM50034992,CCN(Cc1cc(C(F)(F)F)ccc1-n1cc(CC(=O)O)c2ccc(C)cc21)C(=O)C1CC1,119.0
BDBM50034972,CCN(Cc1cc(C(F)(F)F)ccc1-n1cc(CC(=O)O)c2ccc(C)nc21)C(=O)C1CC1,8.9
BDBM50035021,CCN(Cc1cc(C(F)(F)F)ccc1-n1cc(CC(=O)O)c2ccc(C)nc21)C(=O)C1CCC1,9.25
BDBM50035022,CCN(Cc1cc(C(F)(F)F)ccc1-n1cc(CC(=O)O)c2ccc(C)nc21)C(=O)CC1CC1,18.0
BDBM50035027,CCN(Cc1cc(C(F)(F)F)ccc1-n1cc(CC(=O)O)c2ccc(C)nc21)C(=O)CN(C)C,163.0
BDBM50035023,CCN(Cc1cc(C(F)(F)F)ccc1-n1cc(CC(=O)O)c2ccc(C)nc21)C(=O)COC,7.0
BDBM50035024,CCN(Cc1cc(C(F)(F)F)ccc1-n1cc(CC(=O)O)c2ccc(C)nc21)C(=O)Cc1ccccc1,15.5
BDBM50035025,CCN(Cc1cc(C(F)(F)F)ccc1-n1cc(CC(=O)O)c2ccc(C)nc21)C(=O)c1ccccn1,97.0
BDBM50035020,CCN(Cc1cc(C(F)(F)F)ccc1-n1cc(CC(=O)O)c2ccc(C)nc21)C(C)=O,10.0
BDBM50035026,CCN(Cc1cc(C(F)(F)F)ccc1-n1cc(CC(=O)O)c2ccc(C)nc21)C(O)=NCc1ccccc1,4.85
BDBM50034974,CCN(Cc1cc(C(F)(F)F)ccc1-n1cc(CC(=O)O)c2ccc(C3CC3)nc21)C(=O)C1CC1,49.0
BDBM50034977,CCN(Cc1cc(C(F)(F)F)ccc1-n1cc(CC(=O)O)c2ccc(OC)nc21)C(=O)C1CC1,135.0
BDBM50034953,CCN(Cc1cc(C(F)(F)F)ccc1-n1cc(CC(=O)O)c2ccccc21)C(=O)C1CC1,60.5
BDBM50034954,CCN(Cc1cc(C(F)(F)F)ccc1-n1cc(CC(=O)O)c2cccnc21)C(=O)C1CC1,14.5
BDBM50035033,CCN(Cc1cc(C(O)=NCCc2ccccc2)ccc1-n1cc(CC(=O)O)c2ccc(C)nc21)C(=O)C1CC1,8.0
BDBM50034982,CCN(Cc1cc(C)ccc1-n1cc(CC(=O)O)c2ccc(C)nc21)C(=O)C1CC1,9.45
BDBM50034981,CCN(Cc1cc(Cl)ccc1-n1cc(CC(=O)O)c2ccc(C)nc21)C(=O)C1CC1,11.6
BDBM50335958,CCN(Cc1cc(F)ccc1-c1cc(CC(=O)O)ccc1OC)C(=O)OCc1ccccc1,5.0
BDBM50034986,CCN(Cc1cc(F)ccc1-c1cn(CC(=O)O)c2ccc(C(F)(F)F)cc12)C(=O)C1CC1,15.5
BDBM50034985,CCN(Cc1cc(F)ccc1-c1cn(CC(=O)O)c2ccccc12)C(=O)C1CC1,11.0
BDBM50034979,CCN(Cc1cc(F)ccc1-n1cc(CC(=O)O)c2ccc(C)nc21)C(=O)C1CC1,5.550000000000001
BDBM50034978,CCN(Cc1cc(F)ccc1-n1cc(CC(=O)O)c2cccnc21)C(=O)C1CC1,14.0
BDBM50335956,CCN(Cc1cc(N=C(C)O)ccc1-c1cc(CC(=O)O)ccc1OC)C(=O)OCc1ccccc1,33.5
BDBM50335957,CCN(Cc1cc(NS(=O)(=O)c2ccc(Cl)cc2)ccc1-c1cc(CC(=O)O)ccc1OC)C(=O)OCc1ccccc1,46.5
BDBM50034983,CCN(Cc1cc(OC(F)(F)F)ccc1-n1cc(CC(=O)O)c2ccc(C)nc21)C(=O)C1CC1,6.25
BDBM50335959,CCN(Cc1cc(S(C)(=O)=O)ccc1-c1cc(CC(=O)O)ccc1OC)C(=O)OCc1ccccc1,6.0
BDBM50034984,CCN(Cc1cc(S(C)(=O)=O)ccc1-n1cc(CC(=O)O)c2ccc(C)nc21)C(=O)C1CC1,40.0
BDBM50387195,CCN(Cc1ccccc1)C(=O)c1ccc(OC)c(CSc2nc3cc(F)ccc3n2CC(=O)O)c1,610.0
BDBM50034994,CCN(Cc1ccccc1-n1cc(CC(=O)O)c2ccc(C(F)(F)F)cc21)C(=O)C1CC1,9.35
BDBM50034980,CCN(Cc1ccccc1-n1cc(CC(=O)O)c2ccc(C)nc21)C(=O)C1CC1,5.0
BDBM50034900,CCN(Cc1ccccc1Cc1c2c(n(CC(=O)O)c1C)CCN=C2O)C(=O)C1CC1,240.0
BDBM50333847,CCN([C@@H]1CCc2c(CC(=O)O)c3ccccc3n2C1)S(=O)(=O)c1ccc(F)cc1,8.1
BDBM50312282,CCN(c1ccccc1)C1CC(C)N(C(=O)c2ccccc2)c2ccccc21,3170.0
BDBM50458655,CCN(c1nc(C(=O)O)cs1)[C@H]1c2ccccc2N(C(=O)OCc2ccccc2)[C@H]2CCC[C@@H]12,2920.0
BDBM173247,CCN(c1nc2cc(F)ccc2o1)C1CCc2c(CC(=O)O)c3ccc(Cl)cc3n2C1,1.0
BDBM120031,CCN(c1ncc(Cl)cn1)C1CCc2c(c3cc(F)ccc3n2CC(=O)O)C1,1.7
BDBM173242,CCN(c1ncc(F)cn1)C1CCc2c(CC(=O)O)c3ccc(Cl)cc3n2C1,1.0
BDBM50302816,CCN=C(O)Nc1ccc(Oc2cccc(CC(=O)O)c2)c(NS(=O)(=O)c2ccc(Cl)cc2)c1,16.0
BDBM50387198,CCN=C(O)c1ccc(OC)c(CSc2nc3cc(F)ccc3n2CC(=O)O)c1,15.5
BDBM50302824,CCN=C(O)c1ccc(Oc2c(OC)cc(CC(=O)O)cc2OC)c(NS(=O)(=O)c2ccc(Cl)cc2Cl)c1,2.0
BDBM50302798,CCN=C(O)c1ccc(Oc2cc(Cl)cc(CC(=O)O)c2)c(NS(=O)(=O)c2cc(C)c(Cl)cc2Cl)c1,7.35
BDBM50302805,CCN=C(O)c1ccc(Oc2cc(Cl)cc(CC(=O)O)c2)c(NS(=O)(=O)c2ccc(C(F)(F)F)cc2Cl)c1,28.0
BDBM50302804,CCN=C(O)c1ccc(Oc2cc(Cl)cc(CC(=O)O)c2)c(NS(=O)(=O)c2ccc(C)c(Cl)c2)c1,4.0
BDBM50302801,CCN=C(O)c1ccc(Oc2cc(Cl)cc(CC(=O)O)c2)c(NS(=O)(=O)c2ccc(C)cc2)c1,5.0
BDBM50302802,CCN=C(O)c1ccc(Oc2cc(Cl)cc(CC(=O)O)c2)c(NS(=O)(=O)c2ccc(Cl)cc2)c1,3.0
BDBM50302799,CCN=C(O)c1ccc(Oc2cc(Cl)cc(CC(=O)O)c2)c(NS(=O)(=O)c2ccc(Cl)cc2Cl)c1,12.0
BDBM50302800,CCN=C(O)c1ccc(Oc2cc(Cl)cc(CC(=O)O)c2)c(NS(=O)(=O)c2ccccc2)c1,3.0
BDBM50302803,CCN=C(O)c1ccc(Oc2cc(Cl)cc(CC(=O)O)c2)c(NS(=O)(=O)c2ccccc2Cl)c1,4.0
BDBM50302820,CCN=C(O)c1ccc(Oc2ccc(C(C)C(=O)O)cc2)c(NS(=O)(=O)c2ccc(Cl)cc2Cl)c1,107.0
BDBM50302818,CCN=C(O)c1ccc(Oc2ccc(CC(=O)O)cc2)c(NS(=O)(=O)c2ccc(Cl)cc2Cl)c1,4.0
BDBM50302822,CCN=C(O)c1ccc(Oc2ccc(CC(=O)O)cc2F)c(NS(=O)(=O)c2ccc(Cl)cc2Cl)c1,2.0
BDBM50360674,CCN=C(O)c1ccc(Oc2ccc(CC(=O)O)cc2OC)c(NC(O)=NCc2ccc(Cl)cc2)c1,200.0
BDBM50302821,CCN=C(O)c1ccc(Oc2ccc(CC(=O)O)cc2OC)c(NS(=O)(=O)c2ccc(Cl)cc2Cl)c1,3.0
BDBM50302823,CCN=C(O)c1ccc(Oc2ccc(CC(=O)O)cc2OCC)c(NS(=O)(=O)c2ccc(Cl)cc2Cl)c1,2.0
BDBM50302826,CCN=C(O)c1ccc(Oc2ccc(CCC(=O)O)cc2OC)c(NS(=O)(=O)c2ccc(Cl)cc2Cl)c1,740.0
BDBM50302819,CCN=C(O)c1ccc(Oc2ccc(Cc3nn[nH]n3)cc2)c(NS(=O)(=O)c2ccc(Cl)cc2Cl)c1,2370.0
BDBM50302808,CCN=C(O)c1ccc(Oc2cccc(CC(=O)O)c2)c(NS(=O)(=O)c2ccc(C)cc2)c1,7.0
BDBM50302817,CCN=C(O)c1ccc(Oc2cccc(CC(=O)O)c2)c(NS(=O)(=O)c2ccc(Cl)cc2Cl)c1,16.0
BDBM50302806,CCN=C(O)c1ccc(Oc2cccc(CC(=O)O)c2)c(NS(=O)(=O)c2ccccc2)c1,13.0
BDBM50356687,CCNS(=O)(=O)c1ccc(C)c(C#Cc2cc(Cl)ccc2OCC(=O)O)c1,40.0
BDBM50387235,CCOC(=O)CCCCCSc1nc2ccccc2n1CC(=O)O,1010.0
BDBM50387236,CCOC(=O)CCCCSc1nc2ccccc2n1CC(=O)O,2360.0
BDBM50387237,CCOC(=O)CCCSc1nc2ccccc2n1CC(=O)O,4410.0
BDBM50387238,CCOC(=O)CCSc1nc2ccccc2n1CC(=O)O,11400.0
BDBM50200275,CCOC(=O)COc1ccc(Br)cc1C(=O)c1cnn(-c2ccccc2)c1,1582.5
BDBM205672,CCOC(=O)N1CCc2c(F)ccc(-c3cc(CC(=O)O)ccc3OC)c2C1,187.0
BDBM205577,CCOCC(=O)N1CCc2c(F)ccc(-c3cc(CC(=O)O)ccc3OC)c2C1,774.0
BDBM205956,CCOc1cc(C(C)C(=O)O)ccc1-c1ccc(F)c2c1CN(C(=O)OCc1ccccc1)CC2,11.3
BDBM205869,CCOc1cc(CC(=O)O)ccc1-c1ccc(F)c2c1CN(C(=O)/C=C/c1ccccn1)CC2,2.3
BDBM205870,CCOc1cc(CC(=O)O)ccc1-c1ccc(F)c2c1CN(C(=O)/C=C/c1cnn(C)c1)CC2,12.7
BDBM205883,CCOc1cc(CC(=O)O)ccc1-c1ccc(F)c2c1CN(C(=O)C(C)Cc1ccccn1)CC2,8.1
BDBM205853,CCOc1cc(CC(=O)O)ccc1-c1ccc(F)c2c1CN(C(=O)C1CC1c1ccccn1)CC2,1.3
BDBM205856,CCOc1cc(CC(=O)O)ccc1-c1ccc(F)c2c1CN(C(=O)C1CCc3cccc(OC)c3C1)CC2,1.8
BDBM205768,CCOc1cc(CC(=O)O)ccc1-c1ccc(F)c2c1CN(C(=O)CC(C)(C)c1ccc(F)cc1)CC2,0.3
BDBM205769,CCOc1cc(CC(=O)O)ccc1-c1ccc(F)c2c1CN(C(=O)CC(C)(C)c1ccccc1)CC2,0.6
BDBM205851,CCOc1cc(CC(=O)O)ccc1-c1ccc(F)c2c1CN(C(=O)CC(C)c1cccc(C)n1)CC2,11.7
BDBM205875,CCOc1cc(CC(=O)O)ccc1-c1ccc(F)c2c1CN(C(=O)CC(C)c1ccccn1)CC2,0.9
BDBM205844,CCOc1cc(CC(=O)O)ccc1-c1ccc(F)c2c1CN(C(=O)CC(CC)c1ccccn1)CC2,7.8
BDBM205850,CCOc1cc(CC(=O)O)ccc1-c1ccc(F)c2c1CN(C(=O)CC(c1ccccn1)C1CC1)CC2,36.3
BDBM205857,CCOc1cc(CC(=O)O)ccc1-c1ccc(F)c2c1CN(C(=O)CC1(C)CCCc3ccccc31)CC2,2.0
BDBM205761,CCOc1cc(CC(=O)O)ccc1-c1ccc(F)c2c1CN(C(=O)CC1(c3ccccc3)CC1)CC2,1.0
BDBM205854,CCOc1cc(CC(=O)O)ccc1-c1ccc(F)c2c1CN(C(=O)CC1CC(C)(C)Oc3ccccc31)CC2,1.8
BDBM205858,CCOc1cc(CC(=O)O)ccc1-c1ccc(F)c2c1CN(C(=O)CC1CCOc3cc(F)ccc31)CC2,0.2
BDBM205767,CCOc1cc(CC(=O)O)ccc1-c1ccc(F)c2c1CN(C(=O)CC1CCOc3ccccc31)CC2,0.8
BDBM205764,CCOc1cc(CC(=O)O)ccc1-c1ccc(F)c2c1CN(C(=O)CC1CCc3ccccc31)CC2,1.1
BDBM205763,CCOc1cc(CC(=O)O)ccc1-c1ccc(F)c2c1CN(C(=O)CC1COCc3ccccc31)CC2,0.6
BDBM205766,CCOc1cc(CC(=O)O)ccc1-c1ccc(F)c2c1CN(C(=O)CC1COc3ccccc31)CC2,0.3
BDBM205855,CCOc1cc(CC(=O)O)ccc1-c1ccc(F)c2c1CN(C(=O)CC1COc3ccccc3C1)CC2,0.9
BDBM205736,CCOc1cc(CC(=O)O)ccc1-c1ccc(F)c2c1CN(C(=O)CC1OCCc3ccccc31)CC2,1.0
BDBM205846,CCOc1cc(CC(=O)O)ccc1-c1ccc(F)c2c1CN(C(=O)CCc1ccc(F)cc1)CC2,5.1
BDBM205852,CCOc1cc(CC(=O)O)ccc1-c1ccc(F)c2c1CN(C(=O)CCc1cccc(C)n1)CC2,7.3
BDBM205847,CCOc1cc(CC(=O)O)ccc1-c1ccc(F)c2c1CN(C(=O)CCc1cccc(F)c1)CC2,2.1
BDBM205848,CCOc1cc(CC(=O)O)ccc1-c1ccc(F)c2c1CN(C(=O)CCc1ccccc1F)CC2,1.7
BDBM205880,CCOc1cc(CC(=O)O)ccc1-c1ccc(F)c2c1CN(C(=O)CCc1ccccn1)CC2,0.5
BDBM205845,CCOc1cc(CC(=O)O)ccc1-c1ccc(F)c2c1CN(C(=O)CCc1ncccc1OC)CC2,46.1
BDBM205765,CCOc1cc(CC(=O)O)ccc1-c1ccc(F)c2c1CN(C(=O)C[C@@H](C)c1ccccc1)CC2,0.9
BDBM205873,CCOc1cc(CC(=O)O)ccc1-c1ccc(F)c2c1CN(C(=O)Cc1ccccn1)CC2,150.0
BDBM205922,CCOc1cc(CC(=O)O)ccc1-c1ccc(F)c2c1CN(C(=O)OCC1CC1)CC2,1.6
BDBM205923,CCOc1cc(CC(=O)O)ccc1-c1ccc(F)c2c1CN(C(=O)OCC1CCCC1)CC2,5.9
BDBM205928,CCOc1cc(CC(=O)O)ccc1-c1ccc(F)c2c1CN(C(=O)OCC1CCCCC1)CC2,6.8
BDBM205924,CCOc1cc(CC(=O)O)ccc1-c1ccc(F)c2c1CN(C(=O)OCCC(C)C)CC2,49.4
BDBM205939,CCOc1cc(CC(=O)O)ccc1-c1ccc(F)c2c1CN(C(=O)OCc1cc(Cl)ccc1F)CC2,2.0
BDBM205938,CCOc1cc(CC(=O)O)ccc1-c1ccc(F)c2c1CN(C(=O)OCc1cc(F)ccc1F)CC2,2.1
BDBM205935,CCOc1cc(CC(=O)O)ccc1-c1ccc(F)c2c1CN(C(=O)OCc1ccc(F)cc1)CC2,2.3
BDBM205940,CCOc1cc(CC(=O)O)ccc1-c1ccc(F)c2c1CN(C(=O)OCc1ccc(F)cc1F)CC2,3.9
BDBM205921,CCOc1cc(CC(=O)O)ccc1-c1ccc(F)c2c1CN(C(=O)OCc1cccc(C)n1)CC2,0.8
BDBM205936,CCOc1cc(CC(=O)O)ccc1-c1ccc(F)c2c1CN(C(=O)OCc1cccc(F)c1)CC2,2.7
BDBM205941,CCOc1cc(CC(=O)O)ccc1-c1ccc(F)c2c1CN(C(=O)OCc1ccccc1)CC2,26.0
BDBM205937,CCOc1cc(CC(=O)O)ccc1-c1ccc(F)c2c1CN(C(=O)OCc1ccccc1F)CC2,7.7
BDBM205926,CCOc1cc(CC(=O)O)ccc1-c1ccc(F)c2c1CN(C(=O)OCc1ccccn1)CC2,3.7
BDBM205919,CCOc1cc(CC(=O)O)ccc1-c1ccc(F)c2c1CN(C(=O)OCc1ccnn1C)CC2,3.8
BDBM205917,CCOc1cc(CC(=O)O)ccc1-c1ccc(F)c2c1CN(C(=O)OCc1cnccn1)CC2,3.4
BDBM205918,CCOc1cc(CC(=O)O)ccc1-c1ccc(F)c2c1CN(C(=O)OCc1ncc(C)cc1F)CC2,8.0
BDBM205920,CCOc1cc(CC(=O)O)ccc1-c1ccc(F)c2c1CN(C(=O)O[C@@H](C)c1ccccc1)CC2,16.7
BDBM205916,CCOc1cc(CC(=O)O)ccc1-c1ccc(F)c2c1CN(C(=O)O[C@H](C)c1ccccc1)CC2,35.8
BDBM205762,CCOc1cc(CC(=O)O)ccc1-c1ccc(F)c2c1CN(C(=O)[C@@H]1C[C@H]1c1ccccc1)CC2,10.5
BDBM205974,CCOc1cc(CC(=O)O)ccc1-c1ccc(F)c2c1CN(C(O)=NCCc1ccccc1)CC2,18.1
BDBM205973,CCOc1cc(CC(=O)O)ccc1-c1ccc(F)c2c1CN(C(O)=NCc1ccc(F)cc1)CC2,5.3
BDBM205972,CCOc1cc(CC(=O)O)ccc1-c1ccc(F)c2c1CN(C(O)=NCc1cccc(F)c1)CC2,17.5
BDBM205977,CCOc1cc(CC(=O)O)ccc1-c1ccc(F)c2c1CN(C(O)=NCc1ccccc1)CC2,4.7
BDBM205975,CCOc1cc(CC(=O)O)ccc1-c1ccc(F)c2c1CN(C(O)=NCc1ccccc1Cl)CC2,2.0
BDBM205971,CCOc1cc(CC(=O)O)ccc1-c1ccc(F)c2c1CN(C(O)=NCc1ccccc1F)CC2,3.8
BDBM205976,CCOc1cc(CC(=O)O)ccc1-c1ccc(F)c2c1CN(C(O)=NCc1ccccc1OC)CC2,2.5
BDBM205979,CCOc1cc(CC(=O)O)ccc1-c1ccc(F)c2c1CN(C(O)=NCc1ccccn1)CC2,9.2
BDBM50296847,CCOc1cc(S(=O)(=O)n2c(C)c(CC(=O)O)c3cccnc32)ccc1C#N,18.0
BDBM50335954,CCOc1ccc(-c2ccc(-c3cc(CC(=O)[O-])ccc3OC)c(CN(CC)C(=O)C3CC3)c2)cn1,5.5
BDBM50387200,CCOc1ccc(C(C)=O)cc1CSc1nc2cc(F)ccc2n1CC(=O)O,4.5
BDBM205867,CCOc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)/C=C/c1ccccn1)CC2,3.8
BDBM205868,CCOc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)/C=C/c1ccn(C)n1)CC2,30.4
BDBM205872,CCOc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)/C=C/c1cnn(C)c1)CC2,5.8
BDBM205744,CCOc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)C(C)Cc1ccccc1)CC2,57.05
BDBM205882,CCOc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)C(C)Cc1ccccn1)CC2,3.1
BDBM205861,CCOc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)C1CC1c1ccccn1)CC2,0.6
BDBM205864,CCOc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)C1CCc3cccc(OC)c3C1)CC2,22.7
BDBM205754,CCOc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)CC(C)(C)c1ccc(F)cc1)CC2,15.0
BDBM205756,CCOc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)CC(C)(C)c1ccccc1)CC2,11.7
BDBM205742,CCOc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)CC(C)c1ccc(F)cc1)CC2,3.9
BDBM205859,CCOc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)CC(C)c1cccc(C)n1)CC2,1.8
BDBM205810,CCOc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)CC(C)c1cccc(F)c1)CC2,6.9
BDBM205811,CCOc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)CC(C)c1ccccc1F)CC2,3.4
BDBM205813,CCOc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)CC(C)c1ccccc1OC)CC2,2.2
BDBM205734,CCOc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)CC(C)c1ccccn1)CC2,2.9
BDBM205812,CCOc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)CC(C)c1cnccn1)CC2,27.5
BDBM205814,CCOc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)CC(C)c1nccs1)CC2,7.2
BDBM205839,CCOc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)CC(CC)c1ccccn1)CC2,13.1
BDBM205849,CCOc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)CC(c1ccccn1)C1CC1)CC2,114.0
BDBM205865,CCOc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)CC1(C)CCCc3ccccc31)CC2,10.2
